ID	__name__	probes_0	prediction_1	prediction_2	prediction_3	prediction_4	prediction_5	labels	R@1	R@5
10	GoldenEye	GoldenEye is a movie, of the genre <mask>.	 variety	 type	 kind	 genre	 sort	Action|Adventure|Thriller	0.0	0.0
100	City Hall	City Hall is a movie, of the genre <mask>.	 variety	 genre	 kind	 thriller	 classic	Drama|Thriller	0.0	0.5
100017	Keep the Lights On	Keep the Lights On is a movie, of the genre <mask>.	 variety	 above	 genre	 thriller	 kind	Drama	0.0	0.0
100048	Omar Killed Me	Omar Killed Me is a movie, of the genre <mask>.	 thriller	 horror	 of	 genre	 B	Crime|Drama	0.0	0.0
100062	My Way	My Way is a movie, of the genre <mask>.	 variety	 kind	 sort	 type	 genre	Action|Drama|War	0.0	0.0
100091	Hitler's Madman	Hitler's Madman is a movie, of the genre <mask>.	 variety	 kind	 type	 genre	 sort	Drama|War	0.0	0.0
100108	Parker	Parker is a movie, of the genre <mask>.	 variety	 kind	 genre	 type	 sort	Crime|Thriller	0.0	0.0
100138	A Simple Life	A Simple Life is a movie, of the genre <mask>.	 variety	 kind	 genre	 above	 classic	Drama	0.0	0.0
100159	Sightseers	Sightseers is a movie, of the genre <mask>.	 horror	 thriller	 genre	 Horror	 of	Comedy	0.0	0.0
100163	Hansel & Gretel: Witch Hunters	Hansel & Gretel: Witch Hunters is a movie, of the genre <mask>.	 variety	 kind	 type	 genre	 sort	Action|Fantasy|Horror|IMAX	0.0	0.0
100171	Angélique, Marquise des Anges	Angélique, Marquise des Anges is a movie, of the genre <mask>.	 romance	 thriller	 comedy	 drama	 Romance	Adventure|Romance	0.5	0.5
100229	The Psychopath	The Psychopath is a movie, of the genre <mask>.	 thriller	 horror	 Psych	 Horror	 Psycho	Horror|Mystery	0.0	0.5
100232	Not with My Wife, You Don't!	Not with My Wife, You Don't! is a movie, of the genre <mask>.	 comedy	 variety	 thereof	 genre	 above	Comedy|Drama	0.5	0.5
100244	The East	The East is a movie, of the genre <mask>.	 variety	 genre	 thriller	 kind	 B	Drama	0.0	0.0
100255	Confessions of a Driving Instructor	Confessions of a Driving Instructor is a movie, of the genre <mask>.	 variety	 genre	 kind	 sort	 type	Comedy	0.0	0.0
100257	Confessions from a Holiday Camp	Confessions from a Holiday Camp is a movie, of the genre <mask>.	 variety	 genre	 kind	 thereof	 above	Comedy	0.0	0.0
100383	Side Effects	Side Effects is a movie, of the genre <mask>.	 horror	 thriller	 Horror	 of	 comedy	Crime|Drama|Mystery|Thriller	0.0	0.25
100387	Kadal	Kadal is a movie, of the genre <mask>.	 horror	 thriller	 genre	 B	 comedy	Drama|Romance	0.0	0.0
100390	Identity Thief	Identity Thief is a movie, of the genre <mask>.	 thriller	 horror	 of	 genre	 Thief	Comedy|Crime	0.0	0.0
100397	The ABCs of Death	The ABCs of Death is a movie, of the genre <mask>.	 genre	 variety	 horror	 kind	 thriller	Horror	0.0	1.0
1004	The Glimmer Man	The Glimmer Man is a movie, of the genre <mask>.	 horror	 thriller	 Horror	 of	 fantasy	Action|Thriller	0.0	0.5
100440	Lore	Lore is a movie, of the genre <mask>.	 variety	 kind	 genre	 type	 sort	Drama|Thriller|War	0.0	0.0
100498	A Good Day to Die Hard	A Good Day to Die Hard is a movie, of the genre <mask>.	 genre	 thereof	 variety	 classic	 thriller	Action|Crime|Thriller|IMAX	0.0	0.25
1005	D3: The Mighty Ducks	D3: The Mighty Ducks is a movie, of the genre <mask>.	 variety	 kind	 type	 sort	 genre	Children|Comedy	0.0	0.0
100507	21 & Over	21 & Over is a movie, of the genre <mask>.	 variety	 above	 of	 genre	 thereof	Comedy	0.0	0.0
100515	War Witch	War Witch is a movie, of the genre <mask>.	 horror	 Horror	 thriller	 fantasy	 of	Drama|War	0.0	0.0
100527	Safe Haven	Safe Haven is a movie, of the genre <mask>.	 variety	 genre	 kind	 type	 sort	Drama|Mystery|Romance	0.0	0.0
100591	The Mind Reader	The Mind Reader is a movie, of the genre <mask>.	 thriller	 horror	 Horror	 of	 psychological	Drama|Romance	0.0	0.0
1006	The Chamber	The Chamber is a movie, of the genre <mask>.	 thriller	 horror	 genre	 drama	 B	Drama	0.0	1.0
100714	Before Midnight	Before Midnight is a movie, of the genre <mask>.	 variety	 genre	 kind	 thriller	 horror	Drama|Romance	0.0	0.0
1008	Davy Crockett, King of the Wild Frontier	Davy Crockett, King of the Wild Frontier is a movie, of the genre <mask>.	 genre	 variety	 series	 type	 above	Adventure|Western	0.0	0.0
1009	Escape to Witch Mountain	Escape to Witch Mountain is a movie, of the genre <mask>.	 variety	 genre	 horror	 thereof	 above	Adventure|Children|Fantasy	0.0	0.0
100906	Maniac Cop 2	Maniac Cop 2 is a movie, of the genre <mask>.	 variety	 genre	 kind	 type	 sort	Action|Horror|Thriller	0.0	0.0
1010	The Love Bug	The Love Bug is a movie, of the genre <mask>.	 romance	 comedy	 thriller	 horror	 of	Children|Comedy	0.0	0.5
101025	Jack the Giant Slayer	Jack the Giant Slayer is a movie, of the genre <mask>.	 variety	 genre	 above	 kind	 classic	Adventure|Fantasy|IMAX	0.0	0.0
101060	The Last Exorcism Part II	The Last Exorcism Part II is a movie, of the genre <mask>.	 horror	 genre	 variety	 Horror	 thereof	Horror|Thriller	0.5	0.5
101064	Verboten!	Verboten! is a movie, of the genre <mask>.	 comedy	 thriller	 horror	 Comedy	 of	Action|Romance|War	0.0	0.0
101068	The Solitude of Prime Numbers	The Solitude of Prime Numbers is a movie, of the genre <mask>.	 comedy	 thriller	 horror	 fantasy	 of	Drama	0.0	0.0
101076	G.I. Joe: Retaliation	G.I. Joe: Retaliation is a movie, of the genre <mask>.	 variety	 kind	 type	 sort	 genre	Action|Adventure|Sci-Fi|Thriller|IMAX	0.0	0.0
101088	Stoker	Stoker is a movie, of the genre <mask>.	 variety	 kind	 type	 genre	 sort	Drama|Mystery|Thriller	0.0	0.0
1011	Herbie Rides Again	Herbie Rides Again is a movie, of the genre <mask>.	 variety	 kind	 genre	 sort	 type	Children|Comedy|Fantasy|Romance	0.0	0.0
101112	Oz the Great and Powerful	Oz the Great and Powerful is a movie, of the genre <mask>.	 Oz	 classic	 above	 of	 variety	Action|Adventure|Fantasy|IMAX	0.0	0.0
1012	Old Yeller	Old Yeller is a movie, of the genre <mask>.	 variety	 kind	 genre	 type	 classic	Children|Drama	0.0	0.0
101204	The Hucksters	The Hucksters is a movie, of the genre <mask>.	 comedy	 classic	 genre	 variety	 of	Drama	0.0	0.0
101207	Emperor	Emperor is a movie, of the genre <mask>.	 genre	 Empire	 epic	 blockbuster	 thriller	Drama|War	0.0	0.0
101214	Genghis Khan	Genghis Khan is a movie, of the genre <mask>.	 variety	 genre	 kind	 type	 classic	Adventure|Drama|War	0.0	0.0
101233	The Glass Menagerie	The Glass Menagerie is a movie, of the genre <mask>.	 horror	 fantasy	 Glass	 of	 thriller	Drama	0.0	0.0
