ID	__name__	probes_2	prediction_1	prediction_2	prediction_3	prediction_4	prediction_5	labels	R@1	R@5
10	GoldenEye	GoldenEye is a movie and starring Judi Dench and directed by Martin Campbell, of the genre <mask>.	 thriller	 film	 films	 genre	 franchise	Action|Adventure|Thriller	0.3333333333333333	0.3333333333333333
100	City Hall	City Hall is a movie and starring Al Pacino and directed by Harold Becker, of the genre <mask>.	 genre	 films	 name	 variety	 film	Drama|Thriller	0.0	0.0
100017	Keep the Lights On	Keep the Lights On is a movie and starring Julianne Nicholson and directed by Ira Sachs, of the genre <mask>.	 genre	 films	 film	 fame	 name	Drama	0.0	0.0
100048	Omar Killed Me	Omar Killed Me is a movie and starring Maurice Bénichou and directed by Roschdy Zem, of the genre <mask>.	 genre	 cinema	 films	 film	 movies	Crime|Drama	0.0	0.0
100062	My Way	My Way is a movie and starring Joe Odagiri and directed by Kang Je-gyu, of the genre <mask>.	 genre	 film	 films	 fame	 series	Action|Drama|War	0.0	0.0
100091	Hitler's Madman	Hitler's Madman is a movie and starring Peter van Eyck and directed by Douglas Sirk, of the genre <mask>.	 genre	 film	 films	 variety	 1978	Drama|War	0.0	0.0
100108	Parker	Parker is a movie and starring Jennifer Lopez and directed by Taylor Hackford, of the genre <mask>.	 thriller	 genre	 comedy	 films	 fame	Crime|Thriller	0.5	0.5
100138	A Simple Life	A Simple Life is a movie and starring Andy Lau and directed by Ann Hui, of the genre <mask>.	 genre	 films	 film	 series	 fame	Drama	0.0	0.0
100159	Sightseers	Sightseers is a movie and starring John Hurt and directed by Ben Wheatley, of the genre <mask>.	 genre	 film	 films	 thriller	 series	Comedy	0.0	0.0
100163	Hansel & Gretel: Witch Hunters	Hansel & Gretel: Witch Hunters is a movie and starring Jeremy Renner and directed by Tommy Wirkola, of the genre <mask>.	 franchise	 films	 film	 genre	 series	Action|Fantasy|Horror|IMAX	0.0	0.0
100171	Angélique, Marquise des Anges	Angélique, Marquise des Anges is a movie and starring Jean Rochefort and directed by Bernard Borderie, of the genre <mask>.	 romance	 1959	 Romance	 comedy	 thriller	Adventure|Romance	0.5	0.5
100229	The Psychopath	The Psychopath is a movie and starring Peter Diamond and directed by Freddie Francis, of the genre <mask>.	 genre	 films	 film	 franchise	 series	Horror|Mystery	0.0	0.0
100232	Not with My Wife, You Don't!	Not with My Wife, You Don't! is a movie and starring Virna Lisi and directed by Norman Panama, of the genre <mask>.	 genre	 films	 film	 fame	 name	Comedy|Drama	0.0	0.0
100244	The East	The East is a movie and starring Elliot Page and directed by Zal Batmanglij, of the genre <mask>.	 genre	 films	 film	 franchise	 fame	Drama	0.0	0.0
100255	Confessions of a Driving Instructor	Confessions of a Driving Instructor is a movie and starring Tony Booth and directed by Norman Cohen, of the genre <mask>.	 genre	 films	 variety	 name	 film	Comedy	0.0	0.0
100257	Confessions from a Holiday Camp	Confessions from a Holiday Camp is a movie and starring Robin Askwith and directed by Norman Cohen, of the genre <mask>.	 genre	 1978	 variety	 films	 comedy	Comedy	0.0	1.0
100383	Side Effects	Side Effects is a movie and starring Catherine Zeta-Jones and directed by Steven Soderbergh, of the genre <mask>.	 genre	 films	 film	 franchise	 movies	Crime|Drama|Mystery|Thriller	0.0	0.0
100387	Kadal	Kadal is a movie and starring Gautham Karthik and directed by Mani Ratnam, of the genre <mask>.	 Tamil	 genre	 thriller	 film	 comedy	Drama|Romance	0.0	0.0
